# file...... multi_voltageA.csv
# date...... Wed Sep 15 15:27:07 2021
# user...... megan
# host...... (null)
# group..... class=meter
# property.. measured_voltage_A
# limit..... 0
# interval.. 60
# timestamp,Meter2,Meter1,Meter5,Meter3,Meter4,1_2_3,4_5_6,7_8_9,13_14_15,10_11_12,22_23_24,19_20_21,16_17_18
2018-01-01 00:00:00 CST,+2391.56-9.53023i,+2392.35-8.56296i,+2401.78+0i,+2387.6-11.3972i,+2386.28-11.5135i,+2384.37-15.7909i,+2390.27-8.88055i,+2389.85-9.04771i,+2385.05-11.348i,+2387.6-11.3972i,+2387.1-11.5482i,+2387.6-11.3964i,+2385.6-11.6126i
2018-01-01 00:01:00 CST,+2390.86-9.59954i,+2391.67-8.63832i,+2401.78+0i,+2386.43-11.3907i,+2384.98-11.5401i,+2383.66-15.9256i,+2389.54-9.00826i,+2389.2-9.31195i,+2383.73-11.2475i,+2386.43-11.3907i,+2385.86-11.5187i,+2386.43-11.3899i,+2384.2-11.6915i
2018-01-01 00:02:00 CST,+2392.35-9.88173i,+2393.12-8.92152i,+2401.78+0i,+2389.12-12.0963i,+2387.85-12.2908i,+2385.38-16.2527i,+2391.01-9.29962i,+2390.66-9.56996i,+2386.6-12.0694i,+2389.12-12.0963i,+2388.6-12.2157i,+2389.12-12.0956i,+2387.18-12.4508i
2018-01-01 00:03:00 CST,+2390-1.63514i,+2390.77-0.691371i,+2401.78+0i,+2384.54+4.16945i,+2382.9+5.24872i,+2383.02-7.77604i,+2388.72-1.02433i,+2388.32-1.27295i,+2381.63+5.53826i,+2384.54+4.16945i,+2383.91+4.02442i,+2384.54+4.17029i,+2381.91+6.30268i
2018-01-01 00:04:00 CST,+2382.03+33.5037i,+2382.77+34.4056i,+2401.78+0i,+2368.22+73.4475i,+2366.39+75.7667i,+2375.27+27.6569i,+2380.95+34.2876i,+2380.55+34.0405i,+2365.12+75.9674i,+2368.22+73.4475i,+2367.61+73.2545i,+2368.22+73.4483i,+2365.17+78.0905i
2018-01-01 00:05:00 CST,+2383.9+27.3593i,+2384.5+27.9149i,+2401.78+0i,+2370.99+59.1749i,+2369.13+61.6173i,+2378.15+22.8919i,+2382.85+27.7002i,+2382.48+27.402i,+2367.87+61.8327i,+2370.99+59.1749i,+2370.52+59.0741i,+2370.99+59.1757i,+2367.9+64.0286i
2018-01-01 00:06:00 CST,+2389.64+11.3657i,+2390.19+11.9285i,+2401.78+0i,+2382.34+26.7644i,+2380.67+29.2469i,+2384.02+6.88482i,+2388.52+11.845i,+2388.11+11.6122i,+2379.41+29.5598i,+2382.34+26.7644i,+2381.78+26.6322i,+2382.34+26.7651i,+2379.69+31.7179i
2018-01-01 00:07:00 CST,+2389.54+11.7222i,+2390.16+12.2229i,+2401.78+0i,+2382.62+26.451i,+2380.96+28.9037i,+2383.6+7.42i,+2388.5+12.3846i,+2388.04+12.2937i,+2379.71+29.1667i,+2382.62+26.451i,+2382.07+26.2804i,+2382.61+26.4518i,+2379.97+31.3544i
2018-01-01 00:08:00 CST,+2388.9+11.6209i,+2389.48+12.1555i,+2401.78+0i,+2380.91+26.7036i,+2379.35+29.2748i,+2383.01+7.27539i,+2387.88+12.2265i,+2387.41+12.1371i,+2378.09+29.5774i,+2380.91+26.7036i,+2380.36+26.5899i,+2380.91+26.7044i,+2378.47+31.8108i
2018-01-01 00:09:00 CST,+2387.59+16.7694i,+2388.13+17.3592i,+2401.78+0i,+2379.95+32.4876i,+2378.41+34.9652i,+2381.89+12.3143i,+2386.07+18.7156i,+2385.46+18.5707i,+2377.19+35.1035i,+2379.95+32.4876i,+2379.41+32.3593i,+2379.95+32.4883i,+2377.45+37.4641i
2018-01-01 00:10:00 CST,+2386.57+18.1463i,+2387.1+18.7237i,+2401.78+0i,+2378.92+34.3771i,+2377.38+36.8585i,+2381.29+13.4773i,+2384.55+20.3777i,+2383.68+20.1794i,+2376.15+37.0577i,+2378.92+34.3771i,+2378.41+34.2503i,+2378.92+34.3779i,+2376.45+39.3644i
2018-01-01 00:11:00 CST,+2385.18+18.2558i,+2386.06+18.8613i,+2401.78+0i,+2377.74+35.2633i,+2376.11+37.8548i,+2379.49+13.7989i,+2383.58+20.3331i,+2382.72+20.081i,+2374.86+38.1599i,+2377.74+35.2633i,+2377.21+35.1011i,+2377.74+35.2641i,+2375.13+40.3966i
2018-01-01 00:12:00 CST,+2385.59+18.527i,+2386.48+19.1322i,+2401.78+0i,+2378.35+35.8581i,+2376.41+38.3004i,+2379.82+14.1194i,+2384.06+20.5708i,+2383.27+20.2706i,+2375.16+38.5327i,+2378.35+35.8581i,+2377.84+35.7046i,+2378.35+35.8589i,+2375.09+40.7673i
2018-01-01 00:13:00 CST,+2385.86+10.7849i,+2386.7+11.4325i,+2401.78+0i,+2378.99+21.8214i,+2377.16+23.2088i,+2380.37+6.23983i,+2384.13+12.5786i,+2383.39+12.1895i,+2375.92+23.4508i,+2378.99+21.8214i,+2378.48+21.716i,+2378.99+21.8221i,+2375.96+24.6199i
2018-01-01 00:14:00 CST,+2387.17+5.31975i,+2388.02+5.95065i,+2401.78+0i,+2382.76+10.2441i,+2381.18+10.5457i,+2381.59+0.827202i,+2385+7.33118i,+2384.38+6.9433i,+2379.97+10.8211i,+2382.76+10.2441i,+2382.25+10.0706i,+2382.76+10.2448i,+2380.35+10.5308i
2018-01-01 00:15:00 CST,+2389.4+1.01977i,+2390.36+1.46642i,+2401.78+0i,+2385.87+6.09654i,+2384.47+6.43786i,+2383.47-3.25076i,+2387.62+1.35055i,+2386.99+0.992379i,+2383.43+6.6746i,+2385.87+6.09654i,+2385.36+5.92337i,+2385.87+6.09725i,+2383.68+6.40163i
2018-01-01 00:16:00 CST,+2390.45-1.59993i,+2391.34-1.09472i,+2401.78+0i,+2386.75+2.94943i,+2385.44+3.33412i,+2384.86-6.06976i,+2388.82-1.74344i,+2388.29-2.12313i,+2384.55+3.50863i,+2386.75+2.94943i,+2386.22+2.80489i,+2386.75+2.95019i,+2384.61+3.31168i
2018-01-01 00:17:00 CST,+2389.77-1.51468i,+2390.71-1.043i,+2401.78+0i,+2385.66+2.82693i,+2384.16+3.17791i,+2383.84-5.84369i,+2388.28-1.67024i,+2387.85-2.03734i,+2383.28+3.35354i,+2385.66+2.82693i,+2385.15+2.68167i,+2385.66+2.82764i,+2383.16+3.09274i
2018-01-01 00:18:00 CST,+2388.05-3.04234i,+2389.49-2.14569i,+2401.78+0i,+2383.75-0.254475i,+2382.11-0.18731i,+2379.24-9.8704i,+2387.56-2.17517i,+2387.39-2.46154i,+2381.25-0.0331895i,+2383.75-0.254475i,+2383.21-0.369253i,+2383.75-0.253708i,+2381-0.438571i
2018-01-01 00:19:00 CST,+2389.47-4.60599i,+2390.41-3.92072i,+2401.78+0i,+2383.68-3.09804i,+2381.94-3.00287i,+2383.33-9.92046i,+2388.59-4.40323i,+2388.43-4.76747i,+2381.02-2.86736i,+2383.68-3.09804i,+2383.2-3.23443i,+2383.68-3.09732i,+2380.73-3.20685i
2018-01-01 00:20:00 CST,+2387.24-5.38349i,+2388.49-4.57227i,+2401.78+0i,+2380.79-3.05379i,+2379.04-2.88871i,+2379.06-11.1627i,+2386.64-5.18359i,+2386.49-5.55024i,+2378.19-2.73771i,+2380.79-3.05379i,+2380.26-3.14373i,+2380.79-3.05303i,+2377.8-3.06343i
2018-01-01 00:21:00 CST,+2388.42-5.09506i,+2389.52-4.18267i,+2401.78+0i,+2382.52-2.14853i,+2380.8-1.91456i,+2381.23-11.3981i,+2387.6-4.73318i,+2387.43-5.07505i,+2379.94-1.73328i,+2382.52-2.14853i,+2382.02-2.27442i,+2382.51-2.14779i,+2379.58-2.06067i
