grid,id,month
39510.0+15557.87867j,8,july
39585.0+15635.000531j,8,july
39585.0+18620.588196j,8,july
39510.0+17589.011022j,8,july
39540.0+18062.0565j,8,july
41145.0+15119.742685j,8,july
25665.0+11788.415961j,8,july
12465.0+5938.35697j,8,july
4845.0+2044.250459j,8,july
4845.0+1658.698077j,8,july
4860.0+1913.553326j,8,july
4860.0+1967.41563j,8,july
4845.0+1610.957989j,8,july
4830.0+2302.744463j,8,july
4830.0+2201.76419j,8,july
4815.0+2042.66003j,8,july
4815.0+2323.413895j,8,july
4815.0+2119.578127j,8,july
4800.0+1624.50901j,8,july
4785.0+1641.937493j,8,july
4785.0+2125.359509j,8,july
4770.0+2230.883274j,8,july
4665.0+1934.362376j,8,july
4785.0+2221.63913j,8,july
4755.0+1652.700686j,8,july
4725.0+1774.58023j,8,july
4725.0+2083.104672j,8,july
4725.0+1557.458677j,8,july
4710.0+1946.188298j,8,july
17085.0+7082.702849j,8,july
41265.0+19613.382216j,8,july
41115.0+13565.89122j,8,july
41070.0+14721.616904j,8,july
41010.0+15653.059485j,8,july
40965.0+16319.217581j,8,july
41025.0+15593.826685j,8,july
40950.0+17654.262874j,8,july
40710.0+16072.850354j,8,july
39240.0+16258.451481j,8,july
39195.0+18727.456008j,8,july
39210.0+18243.288891j,8,july
34935.0+11877.520559j,8,july
10995.0+4598.672968j,8,july
5640.0+1911.514013j,8,july
2880.0+1197.071806j,8,july
2865.0+1337.255897j,8,july
2865.0+993.970589j,8,july
2865.0+1339.903745j,8,july
2850.0+1250.296538j,8,july
2835.0+972.872979j,8,july
2835.0+1107.263099j,8,july
2835.0+1267.584203j,8,july
2820.0+1050.573382j,8,july
2835.0+1025.045291j,8,july
2820.0+964.707079j,8,july
2835.0+1072.294938j,8,july
2820.0+1102.436917j,8,july
2835.0+1174.043614j,8,july
2835.0+1044.906734j,8,july
2835.0+1090.814118j,8,july
2805.0+1314.540511j,8,july
2805.0+1321.775433j,8,july
2805.0+1011.180353j,8,july
2790.0+1317.104255j,8,july
2790.0+1099.812988j,8,july
2790.0+1165.362003j,8,july
2790.0+1234.339654j,8,july
2835.0+1112.036982j,8,july
2850.0+1112.167113j,8,july
2835.0+1070.090988j,8,july
4125.0+1816.53564j,8,july
4740.0+2116.731139j,8,july
25920.0+9953.337853j,8,july
40935.0+15439.520657j,8,july
40770.0+18314.020033j,8,july
40755.0+14164.578243j,8,july
40815.0+19248.1434j,8,july
40725.0+19337.64018j,8,july
40830.0+18753.232589j,8,july
40860.0+18617.215815j,8,july
40815.0+19629.745383j,8,july
40710.0+18179.788595j,8,july
13305.0+6015.51321j,8,july
8805.0+3734.458368j,8,july
4575.0+1999.704557j,8,july
4575.0+1893.595537j,8,july
4575.0+1824.880002j,8,july
4560.0+1559.37947j,8,july
4560.0+1597.118211j,8,july
4560.0+1881.077796j,8,july
4545.0+1814.872752j,8,july
4545.0+1918.57029j,8,july
4560.0+2037.009759j,8,july
4545.0+1871.84907j,8,july
4545.0+1960.219903j,8,july
4545.0+2042.993451j,8,july
4545.0+2054.05546j,8,july
4545.0+2006.676757j,8,july
4530.0+1909.73447j,8,july
4530.0+1597.711233j,8,july
4530.0+1901.491637j,8,july
4545.0+1962.894432j,8,july
3510.0+1336.871191j,8,july
2760.0+1230.518634j,8,july
2760.0+1052.371752j,8,july
2760.0+1286.063867j,8,july
2760.0+1022.875708j,8,july
2775.0+1095.268693j,8,july
23865.0+9266.268817j,8,july
38865.0+13165.641645j,8,july
38835.0+17495.965443j,8,july
38820.0+17776.290692j,8,july
38835.0+14894.493108j,8,july
38790.0+17640.59839j,8,july
38775.0+15124.211874j,8,july
38820.0+13866.050292j,8,july
38805.0+16024.250729j,8,july
12885.0+4384.529635j,8,july
7380.0+3472.180526j,8,july
2775.0+1175.60192j,8,july
2760.0+1301.720173j,8,july
2745.0+904.844369j,8,july
2760.0+1297.502173j,8,july
2760.0+924.754903j,8,july
2760.0+1066.511079j,8,july
2760.0+1269.635324j,8,july
2760.0+1090.577427j,8,july
2760.0+1298.414043j,8,july
2760.0+1107.285534j,8,july
2760.0+1247.163676j,8,july
2760.0+944.418335j,8,july
2775.0+951.06566j,8,july
2760.0+1155.281578j,8,july
2775.0+1257.634795j,8,july
2775.0+1258.400386j,8,july
3315.0+1541.226951j,8,july
4740.0+1662.349117j,8,july
4650.0+1752.54761j,8,july
4620.0+2013.64049j,8,july
4635.0+1739.610071j,8,july
4620.0+1846.966991j,8,july
4605.0+2041.555827j,8,july
4590.0+1704.394664j,8,july
18330.0+8036.176677j,8,july
40455.0+16321.845901j,8,july
40245.0+16297.413283j,8,july
40155.0+14046.898348j,8,july
40335.0+13529.396952j,8,july
40290.0+17670.183784j,8,july
40320.0+18799.586294j,8,july
40245.0+13517.76262j,8,july
40305.0+17301.976512j,8,july
40305.0+13895.031061j,8,july
36405.0+17247.603946j,8,july
12660.0+5562.922703j,8,july
7365.0+3398.240407j,8,july
4530.0+1911.416401j,8,july
4515.0+2160.896243j,8,july
4515.0+1611.384337j,8,july
4515.0+1970.28575j,8,july
4515.0+2037.329984j,8,july
4530.0+1721.482095j,8,july
4515.0+2006.409816j,8,july
4515.0+1620.055463j,8,july
4515.0+1618.798132j,8,july
4515.0+1970.353234j,8,july
4530.0+1576.4302j,8,july
3435.0+1547.139111j,8,july
2760.0+964.68974j,8,july
2775.0+1314.153924j,8,july
2805.0+1006.769301j,8,july
2790.0+1221.1691j,8,july
2775.0+1015.603412j,8,july
2790.0+1191.718842j,8,july
2775.0+1308.101215j,8,july
2775.0+1276.816179j,8,july
2775.0+1237.950151j,8,july
2760.0+1066.786594j,8,july
2760.0+1127.34641j,8,july
2760.0+1043.504261j,8,july
2745.0+973.862165j,8,july
2745.0+1152.130187j,8,july
2760.0+1188.963072j,8,july
2745.0+1162.710452j,8,july
2760.0+1127.81593j,8,july
16530.0+6154.94696j,8,july
38490.0+16897.625502j,8,july
38280.0+15903.121453j,8,july
38490.0+17383.890642j,8,july
38415.0+15900.369882j,8,july
38340.0+17809.124696j,8,july
38340.0+16009.557786j,8,july
38385.0+12850.589293j,8,july
38355.0+16419.38137j,8,july
38475.0+18112.500438j,8,july
28035.0+13563.363714j,8,july
10875.0+4597.13537j,8,july
3705.0+1770.354747j,8,july
2760.0+1311.360564j,8,july
2760.0+1074.420946j,8,july
2775.0+1205.301534j,8,july
4680.0+2190.019058j,8,july
4635.0+1946.437056j,8,july
4620.0+2104.396446j,8,july
4635.0+1922.818766j,8,july
4620.0+1942.376149j,8,july
4620.0+1884.241022j,8,july
4605.0+2188.562197j,8,july
4590.0+1829.325393j,8,july
4590.0+1871.210036j,8,july
4590.0+2045.790143j,8,july
4575.0+2215.021052j,8,july
4620.0+1855.67978j,8,july
4605.0+2159.602876j,8,july
4605.0+1623.769123j,8,july
4590.0+1659.058774j,8,july
4575.0+1668.445128j,8,july
4575.0+2014.891492j,8,july
4590.0+1876.323603j,8,july
4575.0+1920.274406j,8,july
4575.0+1688.349554j,8,july
4575.0+1603.620974j,8,july
4575.0+2025.294354j,8,july
4575.0+1836.981351j,8,july
4590.0+1884.140964j,8,july
4590.0+1820.914069j,8,july
4560.0+2183.200141j,8,july
4575.0+1853.351492j,8,july
11295.0+5280.247503j,8,july
40350.0+14902.776333j,8,july
40230.0+16027.624617j,8,july
40065.0+14745.470237j,8,july
38865.0+17185.891062j,8,july
38415.0+15812.322411j,8,july
38385.0+12716.840069j,8,july
38445.0+15306.867381j,8,july
38550.0+17580.891757j,8,july
38415.0+16464.862013j,8,july
22635.0+8409.254081j,8,july
10245.0+4445.833709j,8,july
2790.0+1032.284577j,8,july
2775.0+1260.28618j,8,july
2790.0+1309.831587j,8,july
2790.0+1032.001045j,8,july
2790.0+1182.413956j,8,july
2790.0+1285.449036j,8,july
2790.0+1106.383177j,8,july
