grid,id,month
2505.0+1116.206971j,16,june
2505.0+1069.185653j,16,june
2505.0+1186.397672j,16,june
2490.0+1097.562179j,16,june
2490.0+932.565369j,16,june
2490.0+1137.542227j,16,june
2490.0+824.693344j,16,june
2490.0+954.86055j,16,june
2490.0+1017.714264j,16,june
2490.0+848.302952j,16,june
2490.0+1044.89191j,16,june
2490.0+1146.168203j,16,june
2490.0+975.99434j,16,june
2490.0+1157.852868j,16,june
2490.0+1086.44136j,16,june
2490.0+969.702677j,16,june
2505.0+1129.023485j,16,june
2505.0+1054.709284j,16,june
2505.0+1111.814668j,16,june
2505.0+980.059466j,16,june
2505.0+1078.219288j,16,june
2505.0+1122.992778j,16,june
2505.0+1086.573704j,16,june
2505.0+1170.371546j,16,june
2505.0+1124.02452j,16,june
2505.0+1186.36938j,16,june
2505.0+1014.15297j,16,june
2490.0+928.647066j,16,june
2490.0+828.636963j,16,june
2490.0+1009.66084j,16,june
41280.0+17450.641692j,16,june
43095.0+17338.773347j,16,june
44490.0+19053.775357j,16,june
44895.0+21510.940596j,16,june
44790.0+18356.837597j,16,june
44685.0+20105.399305j,16,june
44670.0+15322.29983j,16,june
44715.0+14706.547019j,16,june
44640.0+16539.585093j,16,june
44580.0+16199.135032j,16,june
44580.0+19068.50883j,16,june
44685.0+21562.387715j,16,june
44610.0+17449.09583j,16,june
44610.0+15758.165152j,16,june
44535.0+19999.601831j,16,june
44565.0+17775.159767j,16,june
44565.0+14987.202786j,16,june
44505.0+18482.946406j,16,june
44460.0+16057.834834j,16,june
44415.0+16451.041101j,16,june
11970.0+5484.717788j,16,june
8025.0+3102.721001j,16,june
4260.0+1610.095084j,16,june
4260.0+1597.466527j,16,june
4260.0+1477.878745j,16,june
4260.0+1833.548319j,16,june
4260.0+1695.875473j,16,june
4260.0+1792.634008j,16,june
4260.0+2028.873936j,16,june
4260.0+1751.083671j,16,june
4260.0+1621.092759j,16,june
4260.0+1975.325312j,16,june
4260.0+2045.962913j,16,june
4245.0+2038.111436j,16,june
4185.0+1830.876053j,16,june
4155.0+1434.120704j,16,june
4140.0+1715.019447j,16,june
3435.0+1413.206052j,16,june
2490.0+944.48888j,16,june
2490.0+857.446715j,16,june
2490.0+1132.618665j,16,june
2490.0+867.861625j,16,june
2490.0+852.428582j,16,june
2490.0+875.812741j,16,june
2490.0+1151.765247j,16,june
2490.0+872.347952j,16,june
