grid,id,month
5535.0+2315.950861j,1,sept
5535.0+2479.415483j,1,sept
5535.0+2578.500127j,1,sept
5565.0+2197.435963j,1,sept
5640.0+2568.340367j,1,sept
5610.0+2191.123856j,1,sept
5565.0+2681.719098j,1,sept
5550.0+2205.297928j,1,sept
34485.0+12698.980792j,1,sept
41205.0+17877.125127j,1,sept
41175.0+13909.272567j,1,sept
41160.0+15218.009711j,1,sept
41190.0+19784.52257j,1,sept
41175.0+17296.226569j,1,sept
41145.0+17243.272904j,1,sept
41130.0+19904.582897j,1,sept
41175.0+14028.314143j,1,sept
41175.0+13738.473183j,1,sept
41100.0+19617.316292j,1,sept
41115.0+19384.714529j,1,sept
40800.0+15685.370097j,1,sept
40785.0+16052.389272j,1,sept
40725.0+16908.610725j,1,sept
40665.0+13427.058028j,1,sept
40695.0+17100.792265j,1,sept
40695.0+16286.92152j,1,sept
40695.0+15949.595383j,1,sept
23505.0+9202.752419j,1,sept
11715.0+3996.937616j,1,sept
8025.0+2732.76746j,1,sept
5535.0+2640.164793j,1,sept
5535.0+2267.8751j,1,sept
5535.0+2501.669881j,1,sept
5535.0+1914.654913j,1,sept
5550.0+2304.284535j,1,sept
6330.0+2741.793481j,1,sept
5550.0+2142.806373j,1,sept
5550.0+1900.192487j,1,sept
5535.0+2636.489212j,1,sept
7590.0+3329.568787j,1,sept
7755.0+3090.331921j,1,sept
27675.0+10824.556318j,1,sept
42495.0+19395.870585j,1,sept
42510.0+16589.223702j,1,sept
42570.0+14305.482962j,1,sept
42540.0+20407.119717j,1,sept
42540.0+20354.200444j,1,sept
42390.0+14673.73089j,1,sept
42375.0+16291.770322j,1,sept
42330.0+15379.058609j,1,sept
42330.0+18867.935382j,1,sept
42360.0+19498.120932j,1,sept
42420.0+19049.108382j,1,sept
42360.0+18765.657345j,1,sept
42345.0+19571.678383j,1,sept
42330.0+17279.758812j,1,sept
42330.0+14625.15839j,1,sept
18015.0+7340.53563j,1,sept
13380.0+6272.742442j,1,sept
8595.0+3613.597332j,1,sept
7500.0+3569.567575j,1,sept
7485.0+3621.58783j,1,sept
7470.0+2982.205439j,1,sept
7470.0+3538.904401j,1,sept
7560.0+3510.864703j,1,sept
7515.0+3398.129508j,1,sept
6195.0+2596.040928j,1,sept
5445.0+1815.607026j,1,sept
5460.0+2343.42407j,1,sept
5460.0+2285.842013j,1,sept
5460.0+2489.889432j,1,sept
