# file...... multi_voltageA.csv
# date...... Sat Sep 11 00:02:56 2021
# user...... megan
# host...... (null)
# group..... class=meter
# property.. measured_voltage_A
# limit..... 0
# interval.. 60
# timestamp,Node633,Node632,Node650,Node680,Node684,Node2335,Node661,Node1642,Node3456,Node2361,Node3039,Node2818,Node3538,Node4031,Node4373,Node4767,Node7951,Node8156,Node8386,Node8565,Node9019,Node9160,Node9278,Node9922,Node5746,Node6139,Node7536,Node7719,Node7800,Node7901
2018-01-01 00:00:00 CST,+2437.22-9.81428i,+2435.61-9.39065i,+2401.78+0i,+2463.64-17.1283i,+2462.55-17.0204i,+2437.22-9.81428i,+2443.04-11.3268i,+2444.1-11.6161i,+2462.54-17.0233i,+2460.35-16.2347i,+2460.45-17.3993i,+2460.35-16.2347i,+2464.59-17.7409i,+2468.8-18.8005i,+2467.67-18.3112i,+2467.22-18.3358i,+2469.98-19.1127i,+2469.63-19.0232i,+2469.91-19.0114i,+2468.3-18.4753i,+2468.3-18.4204i,+2467.39-18.3735i,+2468.19-18.5299i,+2468.03-18.5244i,+2465.78-17.5778i,+2466.16-17.719i,+2464.78-17.3249i,+2446.04-12.0768i,+2445.3-11.903i,+2445.18-11.8146i
2018-01-01 00:01:00 CST,+2436.51-9.41958i,+2435.01-9.17355i,+2401.78+0i,+2462.47-17.1892i,+2461.32-16.965i,+2436.51-9.41958i,+2442.51-10.9216i,+2443.58-11.1393i,+2461.31-16.9667i,+2459.19-16.1949i,+2459.18-17.4091i,+2459.19-16.1949i,+2463.38-17.7182i,+2467.18-18.5527i,+2466.48-18.4429i,+2466.51-18.4691i,+2468.35-18.8415i,+2467.99-18.6819i,+2468.37-18.8307i,+2467.11-18.5961i,+2467.12-18.6227i,+2466.68-18.5018i,+2467.98-18.8523i,+2467.33-18.6828i,+2464.59-17.6836i,+2464.99-17.8437i,+2463.62-17.4527i,+2445.27-11.3682i,+2444.86-11.3243i,+2444.85-11.3506i
2018-01-01 00:02:00 CST,+2436.86-9.15179i,+2435.34-8.7643i,+2401.78+0i,+2463.14-16.0728i,+2462.13-16.1071i,+2436.86-9.15179i,+2442.77-10.4007i,+2443.83-10.6493i,+2462.13-16.108i,+2459.91-15.3231i,+2460-16.4803i,+2459.91-15.3231i,+2464.32-16.8782i,+2468.36-17.8126i,+2468.05-17.579i,+2467.22-17.5542i,+2469.56-18.1485i,+2469.5-17.9946i,+2469.43-18.087i,+2469.33-17.7829i,+2468.68-17.7523i,+2467.43-17.6107i,+2468.43-17.8501i,+2468.04-17.7603i,+2465.27-16.4498i,+2465.55-16.4817i,+2464.27-16.2792i,+2445.53-10.9332i,+2445.14-10.8515i,+2445.08-10.9396i
2018-01-01 00:03:00 CST,+2445.2-12.4218i,+2443.68-12.0912i,+2401.78+0i,+2479.71-23.0118i,+2480.05-23.2259i,+2445.2-12.4218i,+2451.26-13.8385i,+2452.36-14.1091i,+2480.05-23.2267i,+2476.46-21.9329i,+2476.46-23.153i,+2476.46-21.9329i,+2483.6-24.5045i,+2494.1-26.6283i,+2487.09-25.4298i,+2487.63-25.4925i,+2500.83-27.873i,+2495.88-26.9424i,+2495.39-26.9925i,+2488.13-25.6788i,+2487.78-25.5912i,+2487.8-25.5271i,+2489.98-26.0323i,+2488.46-25.7143i,+2481.81-23.4987i,+2482.16-23.7398i,+2480.89-23.3605i,+2454.18-14.432i,+2453.68-14.4087i,+2453.63-14.3616i
2018-01-01 00:04:00 CST,+2478.5-28.285i,+2476.96-28.0124i,+2401.78+0i,+2546.21-54.8035i,+2551.98-57.7165i,+2478.5-28.285i,+2484.56-30.0994i,+2485.67-30.4015i,+2551.98-57.717i,+2542.98-53.5073i,+2542.99-54.7622i,+2542.98-53.5073i,+2560.94-61.9052i,+2577.99-67.1541i,+2564.74-63.0816i,+2587.89-71.0858i,+2590.97-71.2736i,+2579.93-67.7378i,+2579.36-67.5002i,+2565.91-63.3953i,+2565.52-63.3496i,+2588.07-71.1558i,+2612.99-79.574i,+2588.79-71.4161i,+2548.16-55.4708i,+2548.76-55.6987i,+2547.43-55.1846i,+2487.44-30.7146i,+2487.02-30.6713i,+2486.9-30.7619i
2018-01-01 00:05:00 CST,+2470.66-24.6896i,+2469.11-24.3622i,+2401.78+0i,+2530.32-47.2205i,+2534.73-49.5999i,+2470.66-24.6896i,+2476.83-26.4626i,+2478.04-26.7807i,+2534.72-49.6008i,+2527.15-46.1288i,+2527.11-47.3807i,+2527.15-46.1288i,+2542.26-53.057i,+2559.04-58.5563i,+2545.8-54.1994i,+2561.98-59.1412i,+2571.8-62.7753i,+2560.96-59.2418i,+2560.37-58.9641i,+2546.75-54.5196i,+2546.56-54.4506i,+2562.16-59.1854i,+2579.87-64.6413i,+2562.86-59.4236i,+2532.18-47.7026i,+2532.89-48.0814i,+2531.51-47.4698i,+2479.9-27.1324i,+2479.4-27.1289i,+2479.28-27.0533i
2018-01-01 00:06:00 CST,+2454.16-15.706i,+2452.65-15.4455i,+2401.78+0i,+2498-29.5349i,+2500.14-30.4806i,+2454.16-15.706i,+2459.72-17.42i,+2460.81-17.7324i,+2500.13-30.4816i,+2494.91-28.5035i,+2494.9-29.7214i,+2494.91-28.5035i,+2505.32-32.4421i,+2522.56-36.8604i,+2508.56-33.2371i,+2511.73-33.8961i,+2534.96-39.8257i,+2525.26-37.7514i,+2523.76-37.1496i,+2509.45-33.453i,+2509.28-33.4039i,+2511.91-33.9489i,+2516.39-34.8319i,+2512.58-34.1513i,+2499.8-30.0072i,+2500.52-30.3297i,+2499.16-29.7637i,+2462.65-18.1805i,+2462.15-18.0743i,+2461.57-17.9193i
2018-01-01 00:07:00 CST,+2456.96-17.0373i,+2455.45-16.7276i,+2401.78+0i,+2503.61-31.9876i,+2506.28-33.4885i,+2456.96-17.0373i,+2462.42-18.558i,+2463.5-18.8423i,+2506.27-33.4901i,+2500.57-31.1527i,+2500.65-32.3285i,+2500.57-31.1527i,+2511.89-35.7873i,+2530.72-41.3447i,+2515.29-36.7597i,+2519.02-37.3054i,+2543.25-44.9568i,+2534.35-42.5507i,+2531.95-41.666i,+2516.31-37.0574i,+2516.02-36.9746i,+2519.19-37.342i,+2524.09-38.3378i,+2519.86-37.4901i,+2505.38-32.3927i,+2506.04-32.5304i,+2504.77-32.1984i,+2465.27-19.2249i,+2464.84-19.2024i,+2464.23-18.9574i
2018-01-01 00:08:00 CST,+2458.69-18.2613i,+2457.04-17.8839i,+2401.78+0i,+2506.71-34.4278i,+2509.54-36.0555i,+2458.69-18.2613i,+2464.01-19.5282i,+2465.08-19.7635i,+2509.53-36.0586i,+2503.62-33.5615i,+2503.57-34.8002i,+2503.62-33.5615i,+2515.32-38.5048i,+2534.17-44.1313i,+2518.69-39.3234i,+2523.41-40.7377i,+2546.82-48.1827i,+2537.77-45.0836i,+2535.36-44.4222i,+2519.71-39.5972i,+2519.4-39.5578i,+2523.58-40.787i,+2528.76-42.1547i,+2524.26-40.9957i,+2508.58-34.8347i,+2509.12-34.9526i,+2507.88-34.7048i,+2466.97-20.1038i,+2466.4-19.9653i,+2465.7-19.8901i
2018-01-01 00:09:00 CST,+2463.3-20.0958i,+2461.7-19.7981i,+2401.78+0i,+2516.17-38.4893i,+2519.1-40.0393i,+2463.3-20.0958i,+2468.52-21.472i,+2469.57-21.7372i,+2519.09-40.0415i,+2513.13-37.4566i,+2513.23-40.9224i,+2513.13-37.4566i,+2524.93-42.5635i,+2543.96-48.5031i,+2528.26-43.3968i,+2532.96-44.7433i,+2556.77-52.8841i,+2547.52-49.3464i,+2545.16-48.7782i,+2529.28-43.6124i,+2528.92-43.5772i,+2533.13-44.7832i,+2538.43-46.2423i,+2533.81-44.9939i,+2518.12-39.1301i,+2518.43-39.0321i,+2517.35-38.8085i,+2471.35-22.0442i,+2470.92-22.1124i,+2470.19-21.8467i
