# timestamp,Node633,Node632,Node650,Node680,Node684,Node2335,Node661,Node1642,Node3456,Node2361,Node3039,Node2818,Node3538,Node4031,Node4373,Node4767,Node7951,Node8156,Node8386,Node8565,Node9019,Node9160,Node9278,Node9922,Node5746,Node6139,Node7536,Node7719,Node7800,Node7901
2018-01-01 00:00:00 CST,+2404.06-0.469781i,+2403.95-0.451577i,+2401.78+0i,+2405.75-0.802692i,+2405.68-0.805693i,+2404.06-0.469781i,+2404.44-0.558893i,+2404.5-0.572972i,+2405.68-0.805968i,+2405.54-0.766555i,+2405.55-0.841004i,+2405.54-0.766555i,+2405.81-0.841962i,+2406.08-0.876856i,+2406.01-0.874469i,+2405.98-0.866907i,+2406.15-0.886703i,+2406.13-0.883038i,+2406.15-0.888203i,+2406.05-0.881726i,+2406.05-0.879566i,+2405.99-0.868913i,+2406.04-0.873499i,+2406.03-0.877009i,+2405.89-0.816826i,+2405.91-0.819053i,+2405.83-0.814701i,+2404.63-0.590463i,+2404.58-0.586867i,+2404.57-0.584424i
2018-01-01 00:01:00 CST,+2404.02-0.474648i,+2403.92-0.46345i,+2401.78+0i,+2405.68-0.852248i,+2405.61-0.845281i,+2404.02-0.474648i,+2404.41-0.56357i,+2404.48-0.578636i,+2405.61-0.845384i,+2405.47-0.805748i,+2405.48-0.882971i,+2405.47-0.805748i,+2405.74-0.883603i,+2405.99-0.917764i,+2405.94-0.90806i,+2405.94-0.922972i,+2406.06-0.926056i,+2406.04-0.928317i,+2406.06-0.928576i,+2405.98-0.913848i,+2405.98-0.914945i,+2405.96-0.924258i,+2406.04-0.942486i,+2406-0.935098i,+2405.82-0.87177i,+2405.85-0.880076i,+2405.76-0.86538i,+2404.59-0.595794i,+2404.56-0.589988i,+2404.56-0.595209i
2018-01-01 00:02:00 CST,+2404.05-0.514328i,+2403.95-0.491301i,+2401.78+0i,+2405.74-0.879107i,+2405.68-0.881635i,+2404.05-0.514328i,+2404.44-0.601357i,+2404.51-0.618692i,+2405.68-0.881701i,+2405.53-0.838028i,+2405.54-0.912705i,+2405.53-0.838028i,+2405.82-0.924508i,+2406.08-0.973041i,+2406.06-0.962542i,+2406-0.953495i,+2406.16-0.990947i,+2406.15-0.984456i,+2406.15-0.983496i,+2406.14-0.981317i,+2406.1-0.96816i,+2406.02-0.956371i,+2406.08-0.964968i,+2406.06-0.963655i,+2405.88-0.899591i,+2405.9-0.89794i,+2405.82-0.891055i,+2404.62-0.642027i,+2404.59-0.636857i,+2404.59-0.634648i
2018-01-01 00:03:00 CST,+2404.55-0.609367i,+2404.45-0.588945i,+2401.78+0i,+2406.73-1.07573i,+2406.75-1.10426i,+2404.55-0.609367i,+2404.94-0.697312i,+2405.01-0.71245i,+2406.75-1.10432i,+2406.52-1.03797i,+2406.53-1.11413i,+2406.52-1.03797i,+2406.98-1.16973i,+2407.64-1.28601i,+2407.2-1.20925i,+2407.23-1.20247i,+2408.06-1.36084i,+2407.75-1.31262i,+2407.72-1.29429i,+2407.26-1.22373i,+2407.24-1.21908i,+2407.24-1.20435i,+2407.37-1.22236i,+2407.28-1.20842i,+2406.86-1.09108i,+2406.88-1.09645i,+2406.8-1.08551i,+2405.13-0.736562i,+2405.09-0.727601i,+2405.09-0.720932i
2018-01-01 00:04:00 CST,+2406.32-0.939895i,+2406.22-0.929217i,+2401.78+0i,+2410.28-1.7848i,+2410.61-1.87925i,+2406.32-0.939895i,+2406.7-1.0308i,+2406.77-1.04448i,+2410.61-1.8793i,+2410.09-1.73656i,+2410.09-1.81408i,+2410.09-1.73656i,+2411.14-2.02102i,+2412.14-2.19943i,+2411.37-2.06365i,+2412.66-2.19047i,+2412.89-2.33516i,+2412.25-2.21821i,+2412.22-2.21675i,+2411.44-2.07991i,+2411.41-2.07474i,+2412.67-2.19182i,+2414.07-2.34114i,+2412.71-2.19976i,+2410.4-1.80455i,+2410.44-1.81707i,+2410.36-1.79755i,+2406.88-1.06434i,+2406.86-1.05723i,+2406.85-1.05253i
2018-01-01 00:05:00 CST,+2405.96-1.05095i,+2405.86-1.02963i,+2401.78+0i,+2409.56-1.96987i,+2409.82-2.07957i,+2405.96-1.05095i,+2406.35-1.13048i,+2406.43-1.14591i,+2409.82-2.07963i,+2409.36-1.92563i,+2409.37-1.99993i,+2409.36-1.92563i,+2410.27-2.23268i,+2411.27-2.44816i,+2410.48-2.26573i,+2411.44-2.47386i,+2412.03-2.6193i,+2411.39-2.47095i,+2411.35-2.46143i,+2410.54-2.27774i,+2410.53-2.27538i,+2411.45-2.4754i,+2412.5-2.69682i,+2411.49-2.4819i,+2409.67-1.99335i,+2409.71-1.99214i,+2409.63-1.98206i,+2406.55-1.16072i,+2406.52-1.15714i,+2406.51-1.15885i
2018-01-01 00:06:00 CST,+2405.06-0.708203i,+2404.96-0.689107i,+2401.78+0i,+2407.78-1.27635i,+2407.91-1.32729i,+2405.06-0.708203i,+2405.42-0.799977i,+2405.49-0.816231i,+2407.91-1.32736i,+2407.59-1.23768i,+2407.59-1.31426i,+2407.59-1.23768i,+2408.23-1.41595i,+2409.28-1.56926i,+2408.44-1.45707i,+2408.63-1.46735i,+2410.04-1.66588i,+2409.45-1.60507i,+2409.36-1.58315i,+2408.49-1.4665i,+2408.48-1.46702i,+2408.64-1.46905i,+2408.92-1.50083i,+2408.68-1.475i,+2407.89-1.29274i,+2407.94-1.29735i,+2407.85-1.28741i,+2405.6-0.840024i,+2405.57-0.829365i,+2405.53-0.823712i
2018-01-01 00:07:00 CST,+2405.23-0.835133i,+2405.13-0.822804i,+2401.78+0i,+2408.13-1.59036i,+2408.3-1.65648i,+2405.23-0.835133i,+2405.58-0.905776i,+2405.65-0.918053i,+2408.29-1.65663i,+2407.94-1.54034i,+2407.95-1.61505i,+2407.94-1.54034i,+2408.64-1.77108i,+2409.79-1.99162i,+2408.86-1.81473i,+2409.09-1.86349i,+2410.55-2.13937i,+2410.01-2.03931i,+2409.87-2.00411i,+2408.92-1.82956i,+2408.9-1.82377i,+2409.1-1.86582i,+2409.41-1.93273i,+2409.14-1.87075i,+2408.25-1.60616i,+2408.29-1.62727i,+2408.21-1.60591i,+2405.76-0.932851i,+2405.73-0.926344i,+2405.69-0.92305i
2018-01-01 00:08:00 CST,+2405.31-0.780233i,+2405.2-0.768027i,+2401.78+0i,+2408.27-1.45343i,+2408.44-1.52987i,+2405.31-0.780233i,+2405.65-0.863187i,+2405.72-0.876533i,+2408.44-1.5301i,+2408.07-1.41848i,+2408.08-1.49309i,+2408.07-1.41848i,+2408.8-1.63901i,+2409.94-1.85476i,+2409-1.66325i,+2409.29-1.72964i,+2410.7-2.01123i,+2410.16-1.89234i,+2410.01-1.86347i,+2409.06-1.66982i,+2409.05-1.66765i,+2409.3-1.73161i,+2409.62-1.78638i,+2409.35-1.74104i,+2408.38-1.46646i,+2408.42-1.47293i,+2408.34-1.46298i,+2405.84-0.896369i,+2405.81-0.887038i,+2405.76-0.884076i
2018-01-01 00:09:00 CST,+2405.6-0.940578i,+2405.49-0.917436i,+2401.78+0i,+2408.86-1.76866i,+2409.03-1.83936i,+2405.6-0.940578i,+2405.93-0.99709i,+2405.99-1.00899i,+2409.03-1.8396i,+2408.66-1.72007i,+2408.68-1.93673i,+2408.66-1.72007i,+2409.39-1.95651i,+2410.54-2.18358i,+2409.59-1.98612i,+2409.89-2.06475i,+2411.31-2.35539i,+2410.75-2.21115i,+2410.61-2.19522i,+2409.66-1.99773i,+2409.63-1.9913i,+2409.9-2.0665i,+2410.22-2.14341i,+2409.94-2.07165i,+2408.98-1.79333i,+2409-1.79275i,+2408.93-1.78594i,+2406.11-1.02047i,+2406.08-1.01908i,+2406.03-1.01415i
